Randint,Question,Answer,Type,Section,Sub Section
2322,Which countries signed Historic AI Treaty to ensure that AI systems respect human rights and democratic values?,ðŸ‡ºðŸ‡¸ðŸ‡¬ðŸ‡§ðŸ‡ªðŸ‡º,FoLi,Economics,"September 7, 2024"
2323,"Which clock is nearing its completion that measures time using the natural vibrations of atoms, providing highly accurate time for applications like GPS and international time zones?",Nuclear Clock,FoLi,Economics,"September 7, 2024"
2324,RIR Power to set up Indiaâ€™s first silicon carbide unit in,Odisha,FoLi,Economics,"September 7, 2024"
2325,Which Indians featured in TIME's 100 Most Influential People in AI?,Ashvini Vaishnav and Anil Kapoor,FoLi,Economics,"September 7, 2024"
2326,"According to Nature study, which countries are the largest plastic polluters?",ðŸ‡®ðŸ‡³ (9.3 mt) > ðŸ‡³ðŸ‡¬ > IndonesiaðŸ‡®ðŸ‡©,FoLi,Economics,"September 7, 2024"
2327,Which Health Insurance Co introduces insurance policy for visually impaired in Braille?,Star Health,FoLi,Economics,"September 7, 2024"
2328,ðŸ‡®ðŸ‡³ held Bilateral Naval Exercise with ðŸ‡«ðŸ‡· called,Varuna,FoLi,Economics,"September 7, 2024"
2329,"Which Ministry organized ""Khel Utsav 2024"" to commemorate birth anniversary of Hockey Legend Major Dhyan Chand? ",Ministry of I&B,FoLi,Economics,"September 7, 2024"
2330,Who received the prestigious 'Gender Diversity Award' at the Indian Steel Conclave 2024 in New Delhi?,"Dr. Dasari Radhika, DGM (HR) at RINL",FoLi,Economics,"September 7, 2024"
2331,Who was announced as the head coach of Rajasthan Royals on a multi-year contract?,Rahul Dravid,FoLi,Economics,"September 7, 2024"
2332,Which states received highest FDI in Q1 FY2024-25?,MH > KN > Delhi,FoLi,Economics,"September 8, 2024"
2333,"What was the previous name of Unified Lending Interface, that integrates data from multiple sources like governments, credit agencies, and financial institutions, streamlining the lending process for faster disbursement and lower costs?",Public Tech Platform for Frictionless Credit (PTPFC),FoLi,Economics,"September 8, 2024"
2334,Which company received final authorization from RBI to act as a payment aggregator in August 2024?,Paysharp,FoLi,Economics,"September 8, 2024"
2335,Which entity sponsors the highest number of RRBs in India?,SBI,FoLi,Economics,"September 8, 2024"
2336,What's the full name of Abu Dhabi Crown Prince who recently visited Delhi?,Khaled bin Mohamed bin Zayed Al Nahyan,FoLi,Economics,"September 8, 2024"
2337,Which Paralympians won Gold in Paris Paralympics 2024?,"Avani Lekhara (Shooting)
Nitish Kumar (Badminton)
Sumit Antil (Javelin)
Harvinder Singh (Archery)
Dharambir (Club Throw)
Praveen Kumar (High Jump)
Navdeep Singh (Javelin)",FoLi,Economics,"September 8, 2024"
2338,Which General Insurance Co unveiled 'Surety Bond Bima' for Infra Projects,SBI General Insurance,FoLi,Economics,"September 9, 2024"
2339,Who set up registry for patients in need for hand transplantation?,NOTTO National Organ and Tissue Transplant Organisation,FoLi,Economics,"September 9, 2024"
2340,ðŸ‡ºðŸ‡¸ has snatched hosting of _____ Summit from ðŸ‡®ðŸ‡³ in 2024 (partially due to attitude of NaMo on Nijjar issue),Quad,FoLi,Economics,"September 9, 2024"
2341,Who partnered with Telangana govt for AI centre of excellence?,Nazara Technologies,FoLi,Economics,"September 9, 2024"
2342,Which cities won Swachh Vayu Survekshan Award 2024?,"Surat, Agra, Raebareli",FoLi,Economics,"September 9, 2024"
2343,"In 54th Meeting of GSTC, GST Rates on _____ were reduced from 12% to 5%",Cancer Drugs,FoLi,Economics,"September 10, 2024"
2344,"In 54th Meeting of GSTC, GST Rates on _____ were increased to 28%",Car seats,FoLi,Economics,"September 10, 2024"
2345,ðŸ‡®ðŸ‡³ðŸ‡ºðŸ‡¸ hold a joint military exercise in RJ called,Yuddh Abhyas,FoLi,Economics,"September 10, 2024"
2346,ðŸ‡®ðŸ‡³ has inked pact for Civil Nuclear Cooperation with,ðŸ‡¦ðŸ‡ª,FoLi,Economics,"September 10, 2024"
2347,"After 5 successful years of PM-Kisan Man Dhan Yojana, which states have highest participation",Bihar > Jharkhand > UP,FoLi,Economics,"September 10, 2024"
2348,"Who organized 'Niveshak Mashal', annual half marathon to promote financial literacy and investor awareness? ",IEPFA Investor Education and Protection Fund Authority,FoLi,Economics,"September 10, 2024"
2349,"India's insurance penetration stands at _____, which is way lower than the global average of 6.8%.",4%,FoLi,Economics,"September 10, 2024"
2350,How much enrollment in PM-Suraksha Beema Yojana,45.3 crore,FoLi,Economics,"September 10, 2024"
2351,How much enrollment in PM-Jeevan Jyoti Beema Yojana,20 crore,FoLi,Economics,"September 10, 2024"
2352,Which Centre was established as a part of 'Safe Cyber Space' Campaign in 2015?,I4C (Indian Cyber Crime Coordination Centre),FoLi,Economics,"September 11, 2024"
2353,Which is India's first transshipment port that is nearing operational launch?,Vizhinjam Port (near Thiruvananthapuram),FoLi,Economics,"September 11, 2024"
2354,MP Govt approves proposal to raise MSP for Soyabean from â‚¹4000 to,â‚¹4800/quintal,FoLi,Economics,"September 11, 2024"
2355,"According to FICCI-IBA Survey, _____% banks reported decline in CASA Deposits",67%,FoLi,Economics,"September 11, 2024"
2356,Which Institute under Commerce Ministry is ranked number 1 globally in Networking and 51st in LinkedIn's Top 100 MBA Programs?,Indian Institute of Foreign Trade,FoLi,Economics,"September 11, 2024"
2357,Fitch Ratings affirmed India's Sovereign Rating at _____ with stable outlook,BBB-,FoLi,Economics,"September 11, 2024"
2358,How much dividend is approved by RBI to Govt for 2023-24,â‚¹2.11 Lac Crore,FoLi,Economics,"September 11, 2024"
2359,SpaceX launches all-civilian crew for first private spacewalk called,Polaris Dawn Mission,FoLi,Economics,"September 11, 2024"
2360,Who won 4th Intercontinental Men's Football Cup by defeating India in Hyderabad (participated by ðŸ‡®ðŸ‡³ðŸ‡¸ðŸ‡¾ðŸ‡²ðŸ‡º)?,ðŸ‡¸ðŸ‡¾,FoLi,Economics,"September 11, 2024"
2361,Who were named India's flag-bearers for Paralympics closing ceremony?,Harvinder Singh (Archer) and Preeti Pal (Sprinter),FoLi,Economics,"September 11, 2024"
2362,"In 54th Meeting of GSTC, which service was exempted from GST Net?",Research Grants,FoLi,Economics,"September 12, 2024"
2363,"Which phase of Pradhan Mantri Gram Sadak Yojana was approved, with an outlay of â‚¹70,125 crore to construct 62,500 km of rural roads?",Phase IV,FoLi,Economics,"September 12, 2024"
2364,GDP growth decelerated to _____% in June Quarter,6.70%,FoLi,Economics,"September 12, 2024"
2365,Which Central Ministries exceeded average Capex Growth of 24% during April-July?,"Housing (35%), Road (34%), Railways (34%), Health (32%), and Atomic Energy (30%)",FoLi,Economics,"September 12, 2024"
2366,Which Central Ministry recorded lowest Capex Spending at 1% (falling from 44% last year)?,Telecommunication,FoLi,Economics,"September 12, 2024"
2367,"Which age group has been approved for health cover under Ayushman Bharat - JAY, regardless of Socio Economic Status?",Senior Citizens aged 70+,FoLi,Economics,"September 12, 2024"
2368,Which Latin American nation becomes 1st to approve popular election of judges?,ðŸ‡²ðŸ‡½,FoLi,Economics,"September 12, 2024"
2369,"President of India Droupadi Murmu, presented the National Florence Nightingale Awards (since 1973) 2024 to",15 nursing professionals,FoLi,Economics,"September 12, 2024"
2370,Which segment is excluded from receiving subsidies under the E-DRIVE scheme for electric vehicles?,Electric Cars,FoLi,Economics,"September 13, 2024"
2371,"MoSPI will launch its first annual survey on private sector capital expenditure (capex) starting in October 2024, with results expected by","February, 2025",FoLi,Economics,"September 13, 2024"
2372,NPCI reported a surplus of _____ in FY24,"Rs 1,134.31 crore (37% YoY rise)",FoLi,Economics,"September 13, 2024"
2373,Which bank became 1st major bank to become signatory of Partnership for Carbon Accounting Financials,Union Bank of India,FoLi,Economics,"September 13, 2024"
2374,NPCI has increased the UPI transaction limit for tax payments to _____ per transaction.,â‚¹5 lakh,FoLi,Economics,"September 13, 2024"
2375,"What is 'Amrit Catla', recently launched by Union Minister at ICAR-CIFA, Bhubaneswar?",a genetically improved variety of Catla fish,FoLi,Economics,"September 13, 2024"
2376,ðŸ‡ºðŸ‡¸ reiterated its support for ______ to gain permanent seats at UNSC,ðŸ‡®ðŸ‡³ðŸ‡¯ðŸ‡µðŸ‡©ðŸ‡ª,FoLi,Economics,"September 13, 2024"
2377,Which Govt announced establishment of Tribal University with 80% reservation for Tribal Students?,MHðŸ“Nashik,FoLi,Economics,"September 13, 2024"
2378,Which ministry emerged as top performer in Special Campaign 3.0 for Cleanliness and reducing pendency?,Coal Ministry,FoLi,Economics,"September 13, 2024"
2379,Which Indian origin lecturer wins Singapore Literature Prize for â€˜Nine Yard Sarees?',Prasanthi Ram,FoLi,Economics,"September 13, 2024"
2380,Which corporation becake title sponsor for World Chess Championship?,Google,FoLi,Economics,"September 13, 2024"
2381,ðŸ‡®ðŸ‡³'s Forex Reserves rise to new peak of,$689 bn,FoLi,Economics,"September 14, 2024"
2382,"Govt extends anti-subsidy duty on Chinese pesticide chemical called ______ for 5 years, to protect domestic players from subsidized Chinese imports",Atrazine Technical,FoLi,Economics,"September 14, 2024"
2383,"As a part of Intercontinental Translocation Programme, 20 Cheetahs have been brought to Kuno National Park (MP) from",NamibiaðŸ‡³ðŸ‡¦ (September 2022 ) and ðŸ‡¿ðŸ‡¦ (February 2023),FoLi,Economics,"September 14, 2024"
2384,Which country has been authorized to join BRICS New Development Bank,AlgeriaðŸ‡©ðŸ‡¿,FoLi,Economics,"September 14, 2024"
2385,______ remains Top Source Market for ðŸ‡±ðŸ‡° Tourism in 2024,ðŸ‡®ðŸ‡³,FoLi,Economics,"September 14, 2024"
2386,______ becomes 101st Member of International Solar Alliance,ðŸ‡³ðŸ‡µ,FoLi,Economics,"September 14, 2024"
2387,Govt removes Minimum Export Price on,"Basmati Rice, Onion",FoLi,Economics,"September 14, 2024"
2388,"To remove colonial imprints, Port Blair to be renamed ",Sri Vijaya Puram,FoLi,Economics,"September 14, 2024"
2389,"ðŸ‡®ðŸ‡³ becomes top weight in MSCI EM Index, surpassing ðŸ‡¨ðŸ‡³ for first time. What are new weight of ðŸ‡®ðŸ‡³ðŸ‡¨ðŸ‡³ respectively?",ðŸ‡®ðŸ‡³ (22.27%) ðŸ‡¨ðŸ‡³ (21.58%),FoLi,Economics,"September 14, 2024"
2390,WHO has pre-qualified ______ as the first approved shot against Mpox.,Bavarian Nordic's Vaccine,FoLi,Economics,"September 14, 2024"
2391,DRDO successfully conducts first phase of Developmental Field Firing Trials of Indian Light Tank called,Zorawar,FoLi,Economics,"September 14, 2024"
2392,India participates in BRICS Literature Forum 2024 held in,KazanðŸ‡·ðŸ‡º,FoLi,Economics,"September 14, 2024"
2393,"Which Operation did ðŸ‡®ðŸ‡³ launch to provide humanitarian assistance to Laos, Myanmar, and Vietnam affected by Typhoon Yagi?",Operation Sadbhavna,FoLi,Economics,"September 15, 2024"
2394,Which Department won Rajbhasha Kirti Award?,Department of Administrative Reforms and Public Grievances,FoLi,Economics,"September 16, 2024"
2395,"GST evasion of â‚¹2 Lac crore found in FY2024, 40% of which was found in",Online Gaming Companies,FoLi,Economics,"September 16, 2024"
2396,"ðŸ‡®ðŸ‡³'s 2nd largest butterfly, recently discovered in TN is called",Southern Birdwing (1st is Golden Birdwing),FoLi,Economics,"September 16, 2024"
2397,"Who launched Parivartan in 2014, that has grown into one of India's largest CSR programs? ",HDFC Bank,FoLi,Economics,"September 17, 2024"
2398,"_____ will introduce an Electronic Travel Authorisation (ETA) system for visa-exempt travellers, including those from India, and is valid for 30d",ThailandðŸ‡¹ðŸ‡­,FoLi,Economics,"September 17, 2024"
2399,Prime Minister inaugurated the Namo Bharat Rapid Rail between Ahmedabad and _____,Bhuj,FoLi,Economics,"September 17, 2024"
2400,LIC selects _____ to develop its NextGen digital platform,Infosys,FoLi,Economics,"September 17, 2024"
2401,"According to Times Travel, which UNESCO site named most Photogenic in Asia?",Angkor WatðŸ‡°ðŸ‡­,FoLi,Economics,"September 18, 2024"
2402,Vote ka Tyohar' Theme song launched for,J&K,FoLi,Economics,"September 18, 2024"
2403,Who won the Best Actress in a Leading Role (Critics) in SIIMA Awards 2024 in Dubai?,Aishwarya Rai for Ponniyin Selvan: II (2023),FoLi,Economics,"September 18, 2024"
2404,Which Ministry has appointed Manu Bhaker as brand ambassador?,"Ministry of Ports, Shipping and Waterways",FoLi,Economics,"September 18, 2024"
2405,Which city to host Commonwealth Games 2026?,GlasgowðŸ´ó §ó ¢ó ³ó £ó ´ó ¿,FoLi,Economics,"September 18, 2024"
2406,Who became First Pakistani Woman Nominated as International Cricket Umpire?,Saleema Imtiaz,FoLi,Economics,"September 18, 2024"
2407,"According to 'Relative Economic Performance of Indian States' Report released by The Economic Advisory Council to the Prime Minister, which state held 10.5% of national GDP in 1960-61 but now accounts for only 5.6% in 2023-24?",West Bengal,FoLi,Economics,"September 19, 2024"
2408,"According to SEBI, REIT Market has 2.5 lac unit holders and manages assets worth",â‚¹1.4 lac crore,FoLi,Economics,"September 19, 2024"
2409,How much minimum contribution is required under NPS Vatsalya Scheme,â‚¹1000,FoLi,Economics,"September 19, 2024"
2410,"According to MSCI All Country World Investable Market Index (ACWI IMI), ðŸ‡®ðŸ‡³ has become the _____ largest market in the world, overtaking ðŸ‡¨ðŸ‡³",6th (ðŸ‡ºðŸ‡¸ðŸ‡¯ðŸ‡µðŸ‡¬ðŸ‡§ðŸ‡¨ðŸ‡¦ðŸ‡«ðŸ‡·),FoLi,Economics,"September 19, 2024"
2411,"According to MSCI All Country World Investable Market Index (ACWI IMI), ðŸ‡®ðŸ‡³'s nominal GDP growth is over _____ that ofðŸ‡¨ðŸ‡³,",3x,FoLi,Economics,"September 19, 2024"
2412,"World Food India 2024 will take place from September 19-22 at _____, New Delhi,",Bharat Mandapam,FoLi,Economics,"September 19, 2024"
2413,______ honored with Rajbhasha Kirti Award 2023-2024,NMDC Ltd,FoLi,Economics,"September 19, 2024"
2414,"According to S&P Global, ðŸ‡®ðŸ‡³, with a growth rate of _____%, is set to become 3rd largest economy by 2030-31",6.70%,FoLi,Economics,"September 20, 2024"
2415,Premiere Metal Credit Card 'Ashva' unveiled by,IDFC First Bank,FoLi,Economics,"September 20, 2024"
2416,Food delivery app _____ joins ONDC,Waayu,FoLi,Economics,"September 20, 2024"
2417,"According to Brand Finance India 100 Report, which Brand was recognized as fastest-growing IT services brand",Persistent Systems,FoLi,Economics,"September 20, 2024"
2418,Punjab Kings appoints ______ as head coach,Ricky Ponting,FoLi,Economics,"September 20, 2024"
2419,_____ becomes first country to receive WHO verification for eliminating leprosy,JordanðŸ‡¯ðŸ‡´,FoLi,Economics,"September 21, 2024"
2420,"Which framework, launched in April 2024, has now been ratified by Cabinet under Project Tiger?",International Big Cat Alliance,FoLi,Economics,"September 21, 2024"
2421,"Global Food Regulators Summit 2024, organized by ",FSSAI,FoLi,Economics,"September 21, 2024"
2422,Who became 10th BowlerðŸ‡®ðŸ‡³ to take 400 wickets?,J Bumrah,FoLi,Economics,"September 21, 2024"
2423,Piyush Goyal inaugurates Invest Indiaâ€™s first overseas office in,ðŸ‡¸ðŸ‡¬,FoLi,Economics,"September 22, 2024"
